A/A;Κωδικός;Κωδ.εργοστασίου;Περιγραφή;Ομάδα;Υποομάδα;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Κόστος απογραφής;Κόστος πωληθέντων;Αξία πωληθέντων;Κόστος υπολοίπου;Συντελεστής Μ.Κ.;
1279;011424;PREVIDIA216;ΚΕΝΤΡΙΚΗ ΜΟΝΑΔΑ 2 ΒΡΟΧΩΝ;FIRE DETECTION;ΠΙΝΑΚΕΣ FIRE CONVENTIONAL;1,00;938,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;938,00;0,00;0,00;1,00;938,00;938,00;0,00;0,00;938,00;0,00;
1280;011445;MAD-481;MODULE ΠΥΡΑΝΙΧΝΕΥΗΣ;FIRE DETECTION;MODULE FIRE ADDRESSABLE;2,00;62,44;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;62,44;0,00;0,00;2,00;62,44;62,44;0,00;0,00;62,44;0,00;
1281;011451;XP2-MDPB;Mullion type RF Card reader, Dual RFID(125kHz EM & 13.56Mhz MIFARE, MIFARE Plus, DESFire/EV1/EV2, FeliCa), PoE,IP67, IK08, NFC,;ACCESS CONTROL;READERS;31,00;6.225,11;0,00;0,00;0,00;0,00;0,00;0,00;19,00;5.253,79;31,00;6.225,11;19,00;5.253,79;12,00;2.409,72;6.225,11;3.815,39;5.253,79;2.409,72;27,38;
1282;011452;XPD2-MDB;Mullion type RF Card reader, Dual RFID(125kHz EM & 13.56Mhz MIFARE, DESFire/EV1, FeliCa, NFC, ISO14443A), IP67,IK08, BLE (Moca C;ACCESS CONTROL;READERS;0,00;0,00;0,00;0,00;0,00;0,00;4,00;442,67;4,00;565,72;4,00;442,67;4,00;565,72;0,00;0,00;0,00;442,67;565,72;0,00;21,75;
1283;011457;ICS-500ZLW;External  Z : L Bracket;ACCESS CONTROL;ΗΛΕΚΤΡΟΜΑΓΝΗΤΕΣ/ΚΥΠΡΙ/ΗΛΕΚΤΡΙΚΕΣ ΚΛΕΙΔΑΡΙΕΣ;2,00;22,79;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;22,79;0,00;0,00;2,00;22,79;22,79;0,00;0,00;22,79;0,00;
1284;011458;516.800.530;801PHEx Optical smoke + heat detector;FIRE DETECTION;ΑΝΙΧΝΕΥΤΕΣ FIRE ADDRESSABLE;1,00;136,31;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;136,31;0,00;0,00;1,00;136,31;136,31;0,00;0,00;136,31;0,00;
1285;011459;C-AF250H;250 Watt IP amplifier, with 70/100 Volt loudspeaker output;PA/VA;ΜΕΓΑΦΩΝΑ/ΗΧΕΙΑ PA/VA;25,00;30.400,65;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1.723,49;25,00;30.400,65;1,00;1.723,49;24,00;29.184,72;30.400,65;1.216,03;1.723,49;29.184,72;29,44;
1286;011461;MPLT62-G;Powerful two-way long throw horn;PA/VA;ΠΑΡΕΛΚΟΜΕΝΑ PA/VA;89,00;22.115,34;0,00;0,00;0,00;0,00;7,00;11.088,00;22,00;17.531,10;96,00;33.203,34;22,00;17.531,10;74,00;19.536,00;22.115,34;14.520,00;17.531,10;19.536,00;17,18;
1287;011475;JC008-1;Pipe 25mm RED 2.4M  - MOQ 10;FIRE DETECTION;VESDA & PIPING;1.768,00;10.834,30;0,00;0,00;0,00;0,00;0,00;0,00;596,00;8.111,39;1.768,00;10.834,30;596,00;8.111,39;1.172,00;7.182,02;10.834,30;6.716,25;8.111,39;7.181,98;17,20;
1288;011482;JC005-25;Jointing Socket 25mm RED -  MOQ 10;FIRE DETECTION;VESDA & PIPING;1.170,00;1.031,94;0,00;0,00;0,00;0,00;0,00;0,00;650,00;1.300,59;1.170,00;1.031,94;650,00;1.300,59;520,00;458,64;1.031,94;1.014,30;1.300,59;458,64;22,01;
1289;011483;JC001-25;90o Sweeping Bend 25mm RED - MOQ 5;FIRE DETECTION;VESDA & PIPING;255,00;1.174,28;0,00;0,00;0,00;0,00;0,00;64,95;85,00;948,90;255,00;1.239,23;85,00;948,90;170,00;762,80;1.174,28;740,38;948,90;762,81;21,98;
1290;011484;JC007-25;End Cap 25mm RED - MOQ 5;FIRE DETECTION;VESDA & PIPING;83,00;79,93;0,00;0,00;0,00;0,00;0,00;0,00;27,00;55,47;83,00;79,93;27,00;55,47;56,00;53,93;79,93;45,25;55,47;53,92;18,42;
1291;011485;JC006-25;Tee Piece 25mm RED - MOQ 5;FIRE DETECTION;VESDA & PIPING;31,00;117,18;0,00;0,00;0,00;0,00;0,00;0,00;17,00;135,52;31,00;117,18;17,00;135,52;14,00;52,92;117,18;102,06;135,52;52,92;24,69;
1292;011486;JC004-25;Pipe Clip 25-27mm RED;FIRE DETECTION;VESDA & PIPING;289,00;137,85;0,00;0,00;0,00;0,00;10,00;4,50;299,00;330,30;299,00;142,35;299,00;330,30;0,00;0,00;137,85;140,45;330,30;0,00;57,48;
1293;011492;iDS-2CD7A26G0/P-IZHSY;2 MP ANPR IR Varifocal Bullet Network Camera;CCTV;ΚΑΜΕΡΕΣ BULLET;4,00;1.445,53;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;1.445,53;0,00;0,00;4,00;1.445,53;1.445,53;0,00;0,00;1.445,53;0,00;
1294;011496;514.001.063;EXI800 MZX interface module for use MZX system 800;FIRE DETECTION;MODULE FIRE ADDRESSABLE;2,00;476,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;476,06;0,00;0,00;2,00;476,06;476,06;0,00;0,00;476,05;0,00;
1295;011498;517.001.248;DX070 Enclosure with70mm DIN rail;FIRE DETECTION;ACCESSORIES FIRE CONVENTIONAL;1,00;97,87;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;97,87;0,00;0,00;1,00;97,87;97,87;0,00;0,00;97,87;0,00;
1296;011519;SP-MC07G;Ενσύρματη χωνευτή μαγνητική επαφή, χρώμα γκρί;ACCESS CONTROL;ΕΠΑΦΕΣ BA;8,00;12,51;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;12,51;0,00;0,00;8,00;12,51;12,51;0,00;0,00;12,51;0,00;
1297;011525;PSD12020;Power Supply 12V2A;CCTV;ΠΑΡΕΛΚΟΜΕΝΑ CCTV/ACCESSORIES;30,00;222,08;0,00;0,00;0,00;0,00;21,00;155,61;13,00;77,90;51,00;377,69;13,00;77,90;38,00;281,44;222,08;51,84;77,90;281,42;33,45;
1298;011526;USTAR-ACM;iSTAR Ultra Access Control Module (ACM). Enclosure not included;ACCESS CONTROL;ΚΕΝΤΡΙΚΕΣ ΜΟΝΑΔΕΣ/CONTROLLERS ACCESS;4,00;2.300,67;0,00;0,00;0,00;0,00;-1,00;0,00;0,00;0,00;3,00;2.300,67;0,00;0,00;3,00;1.725,51;2.300,67;0,00;0,00;1.725,50;0,00;
1299;011542;DS-1272ZJ-110-TRS;Βάση στήριξης καμερών απο αλουμίνιο;CCTV;ΠΑΡΕΛΚΟΜΕΝΑ CCTV/ACCESSORIES;3,00;32,41;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;32,41;0,00;0,00;3,00;32,41;32,41;0,00;0,00;32,41;0,00;
1300;011543;ZLST4-G;SuperTag 4 Grey;EAS;TAGS & LABELS EAS;14.800,00;4.810,00;0,00;0,00;0,00;0,00;0,00;0,00;200,00;110,00;14.800,00;4.810,00;200,00;110,00;14.600,00;4.745,00;4.810,00;64,99;110,00;4.744,60;40,91;
1301;011545;AMD-3050-ST4;SuperTag 4 Hand Detacher;EAS;DETACHER;7,00;454,80;0,00;0,00;0,00;0,00;4,00;278,72;0,00;0,00;11,00;733,52;0,00;0,00;11,00;733,52;454,80;0,00;0,00;733,52;0,00;
1302;011549;NED-9217363;uPASS Target reader, High-end UHF reader for long-range identification up to 10 meters (33ft.) for demanding situations. The Wal;ACCESS CONTROL;READERS;5,00;10.731,16;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;5,00;10.731,16;4,00;0,00;1,00;2.146,23;10.731,16;0,00;0,00;2.146,23;0,00;
1303;011550;DJW12-18;ΜΠΑΤΑΡΙΑ 12V 18AH;FIRE DETECTION;SPARE PARTS FIRE DETECTION;3,00;105,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;105,30;0,00;0,00;3,00;105,30;105,30;0,00;0,00;105,30;0,00;
1304;011551;SL-104;Σειρήνα εσωτερικού χώρου;INTRUSION/BA;ΣΕΙΡΗΝΕΣ BA;0,00;0,00;0,00;0,00;0,00;0,00;1,00;4,61;1,00;6,00;1,00;4,61;1,00;6,00;0,00;0,00;0,00;4,61;6,00;0,00;23,17;
1305;011560;XPD2-MDB (Rev.2);Xpass D2 Mullion type RF Card reader, Dual RFID;ACCESS CONTROL;READERS;31,00;3.160,54;0,00;0,00;0,00;0,00;0,00;0,00;31,00;5.497,88;31,00;3.160,54;31,00;5.497,88;0,00;0,00;3.160,54;3.160,54;5.497,88;0,00;42,51;
1306;011566;TA-2;"US 2 GANG, Double Depth - 3.5"", Flush Back Box, Masonry";INTERCOM;ΠΑΡΕΛΚΟΜΕΝΑ INTERCOM;0,00;0,00;0,00;0,00;0,00;0,00;-53,00;0,00;-53,00;0,00;-53,00;0,00;-53,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
1307;011567;TA-5;Turbine Compact, Bracket for US 2 GANG Flush Back Box;INTERCOM;ΠΑΡΕΛΚΟΜΕΝΑ INTERCOM;0,00;0,00;0,00;0,00;0,00;0,00;-53,00;0,00;-53,00;0,00;-53,00;0,00;-53,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
1308;011579;FG-TMC;Termination Plug;ΛΟΙΠΑ;ΛΟΙΠΑ ΠΑΡΕΛΚΟΜΕΝΑ;3,00;203,48;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;203,48;0,00;0,00;3,00;203,48;203,48;0,00;0,00;203,48;0,00;
1309;011582;CF-EC100;Clips & Adhesive;ΛΟΙΠΑ;ΛΟΙΠΑ ΠΑΡΕΛΚΟΜΕΝΑ;0,00;0,00;0,00;0,00;0,00;0,00;3,00;390,00;2,00;324,38;3,00;390,00;2,00;324,38;1,00;130,00;0,00;260,00;324,38;130,00;19,85;
1310;011593;IPC-HDBW3841R-ZAS-27135;8MP IR Vari-focal Dome WizSense Network Camera;CCTV;ΚΑΜΕΡΕΣ DOME;1,00;28,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;28,90;0,00;0,00;1,00;28,90;28,90;0,00;0,00;28,90;0,00;
1311;011594;03GHW3;POWER SUPPLY SRV DELL POWEREDGE R620;IT;ΠΑΡΕΛΚΟΜΕΝΑ IT;1,00;19,93;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;19,93;0,00;0,00;1,00;19,93;19,93;0,00;0,00;19,93;0,00;
1312;011596;B338;Universal Ceiling-mount Bracket BOSCH;INTRUSION/BA;ΠΑΡΕΛΚΟΜΕΝΑ INTRUSION/BA;1,00;7,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-2,00;1,00;7,14;0,00;-2,00;1,00;7,14;7,14;0,00;-2,00;7,14;100,00;
1313;011620;MBK17-060PA-VR (GR);ΠΥΡ/ΡΑΣ 6KG ABC VR GR;FIRE EXTINGUISHING;ΦΙΑΛΕΣ;15,00;288,96;0,00;0,00;0,00;0,00;45,00;848,89;60,00;1.381,46;60,00;1.137,85;60,00;1.381,46;0,00;0,00;288,96;1.083,68;1.381,46;0,00;21,56;
1314;011621;DS-KAW60-2N;Τροφοδοτικό ράγας;INTERCOM;ΠΑΡΕΛΚΟΜΕΝΑ INTERCOM;1,00;28,69;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;28,69;0,00;0,00;1,00;28,69;28,69;0,00;0,00;28,69;0,00;
1315;011623;DS-KD8003-IME2;Kεντρική μπουτονιέρα 2 καλωδίων.;INTERCOM;ΠΑΡΕΛΚΟΜΕΝΑ INTERCOM;1,00;74,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;74,50;0,00;0,00;1,00;74,50;74,50;0,00;0,00;74,50;0,00;
1316;011627;R/U-ZS1180-CG-SS;R/U - Antenna 1180 EAS ANT- COOL GRAY INOX;EAS;ANTENNA;67,00;10.050,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;67,00;10.050,00;0,00;0,00;67,00;10.050,00;10.050,00;0,00;0,00;10.050,00;0,00;
1317;011644;IFM2L;MODULE FOR THE MANAGEMENT OF 2 LOOPS - IFM2L - IFM2L;FIRE DETECTION;ΠΛΑΚΕΤΕΣ/ΕΠΕΚΤΑΣΕΙΣ FIRE;5,00;1.785,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;1.785,00;0,00;0,00;5,00;1.785,00;1.785,00;0,00;0,00;1.785,00;0,00;
1318;011674;HS65WPS;ΤΡΟΦΟΔΟΤΙΚΟ 18V 3.6A DC;ACCESS CONTROL;ΠΑΡΕΛΚΟΜΕΝΑ ACCESS CONTROL;3,00;32,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;32,33;0,00;0,00;3,00;32,33;32,33;0,00;0,00;32,33;0,00;
1319;011690;WM LXMA-10;ΟΔΗΓΟΙ ΚΑΛΩΔΙΩΝ ΜΙΚΤΟΝΟΜΗΣΗΣ 1U ΜΕΤΑΛ.ΔΑΚΤ.;IT;ΠΑΡΕΛΚΟΜΕΝΑ IT;3,00;24,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;24,60;0,00;0,00;3,00;24,60;24,60;0,00;0,00;24,60;0,00;
1320;011719;0312-7130-01;0312-7130-01 - METAL FOLI DETECTION CARD;EAS;SPARE PARTS EAS;2,00;270,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;270,06;0,00;0,00;2,00;270,06;270,06;0,00;0,00;270,06;0,00;
1321;011723;JC010;Sample point labels - MOQ 100;FIRE DETECTION;VESDA & PIPING;480,00;66,72;0,00;0,00;0,00;0,00;0,00;0,00;120,00;36,00;480,00;66,72;120,00;36,00;360,00;50,04;66,72;33,25;36,00;49,87;7,64;
1322;011743;DS-2PA1201-WRD;Τροφοδοτικό κάμερας Switching 12VDC 1 κανάλι;CCTV;ΠΑΡΕΛΚΟΜΕΝΑ CCTV/ACCESSORIES;1,00;3,53;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;3,53;0,00;0,00;1,00;3,53;3,53;0,00;0,00;3,53;0,00;
1323;011746;514.001.171;FIRECLASS - MCP200CS CONV.MANUAL CALL POINT;FIRE DETECTION;SPARE PARTS FIRE DETECTION;8,00;66,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;66,05;0,00;0,00;8,00;66,05;66,05;0,00;0,00;66,05;0,00;
1324;011764;DTC1000;FARGO DTC1000;ACCESS CONTROL;CARD PRINTER;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;
1325;011765;OP10;OmniProx Proximity Card Readers HONEYWELL;ACCESS CONTROL;READERS;1,00;14,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;14,90;0,00;0,00;1,00;14,90;14,90;0,00;0,00;14,90;0,00;
1326;011768;TRADAR-150C;Tyco  Radar Detection, up to 150m range, 5.8GHz Sensor, 1.0m resolution ;CCTV;LICENSE/SOFTWARE CCTV;4,00;12.236,87;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.359,00;4,00;12.236,87;0,00;3.359,00;4,00;12.236,86;12.236,87;3.059,22;3.359,00;12.236,86;8,92;
1327;011771;TRADAR-AI-PTZ;Tyco Radar Detection AI Server Add-on, 1 AI PTZ License;CCTV;LICENSE/SOFTWARE CCTV;6,00;2.532,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;2.532,06;0,00;0,00;6,00;2.532,06;2.532,06;844,02;0,00;2.532,06;0,00;
1328;011772;PSBOC1552455;PSU 27,6V/5,5A/OC enclosed buffer switch mode power supply unit with technical outputs;INTRUSION/BA;ΠΑΡΕΛΚΟΜΕΝΑ INTRUSION/BA;1,00;16,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;16,50;0,00;0,00;1,00;16,50;16,50;0,00;0,00;16,50;0,00;
1329;011782;VSP-722;VSP-722 VESDA ASPIRATOR FAN ASSY VLF;FIRE DETECTION;SPARE PARTS FIRE DETECTION;1,00;324,95;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;324,95;0,00;0,00;1,00;324,95;324,95;0,00;0,00;324,95;0,00;
1330;011812;UA140ZLM-1;Τερματικό ωρομέτρησης με δακτυλικό αποτύπωμα και καρταναγνώστη καρτών 125Κhz.;ACCESS CONTROL;ΚΕΝΤΡΙΚΕΣ ΜΟΝΑΔΕΣ/CONTROLLERS ACCESS;2,00;316,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;316,00;0,00;0,00;2,00;316,00;316,00;0,00;0,00;316,00;0,00;
1331;011818;KT-1-CAB-PSU;Metal enclosure with PSU for KT-1-PCB, Switch Mode 12 Volt 2A Power Supply, Mains and Battery Monitoring outputs;ΛΟΙΠΑ;ΜΠΑΤΑΡΙΕΣ;1,00;4,68;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;4,68;0,00;0,00;1,00;4,68;4,68;0,00;0,00;4,68;0,00;
1332;011819;NBRK0250;NETBOTZ RACK MONITOR 250;ACCESS CONTROL;ΠΑΡΕΛΚΟΜΕΝΑ ACCESS CONTROL;1,00;396,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;396,00;0,00;0,00;1,00;396,00;396,00;0,00;0,00;396,00;0,00;
1333;011820;NBES0301;NETBOTZ SPOT FLUID SENSOR - 15 FT;ACCESS CONTROL;ΠΑΡΕΛΚΟΜΕΝΑ ACCESS CONTROL;2,00;162,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;162,00;0,00;0,00;2,00;162,00;162,00;0,00;0,00;162,00;0,00;
1334;011821;AP9335TH;APC TEMPERATURE & HUMIDITY SENSOR;ACCESS CONTROL;ΠΑΡΕΛΚΟΜΕΝΑ ACCESS CONTROL;4,00;396,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;396,00;0,00;0,00;4,00;396,00;396,00;0,00;0,00;396,00;0,00;
1335;011827;6314061;8 analog input module for MX 43 and MX32v2;FIRE EXTINGUISHING;ΠΑΡΕΛΚΟΜΕΝΑ FIRE EXTINGUISHING;1,00;584,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;584,50;0,00;0,00;1,00;584,50;584,50;0,00;0,00;584,50;0,00;
1336;011833;BS-527/WP/V2;STOP GAS;ΛΟΙΠΑ;ΛΟΙΠΑ ΠΑΡΕΛΚΟΜΕΝΑ;107,00;2.667,30;0,00;0,00;0,00;0,00;11,00;127,76;22,00;1.586,76;118,00;2.795,06;22,00;1.586,76;96,00;2.423,04;2.667,30;605,76;1.586,76;2.423,04;61,82;
1337;011838;iDS-2CD7A46G0/P-IZHSY(2.8-12mm)(C)O-STD;4MP DeepinView ANPR Moto Varifocal Bullet Camera;CCTV;ΚΑΜΕΡΕΣ BULLET;1,00;399,76;0,00;0,00;0,00;0,00;0,00;0,00;1,00;692,00;1,00;399,76;1,00;692,00;0,00;0,00;399,76;399,76;692,00;0,00;42,23;
1338;011852;B04801208;ΔΙΑΦΟΡΙΚΟ ΚΛΕΙΣΤΡΟ RT IG WP:200bar - 25E;FIRE EXTINGUISHING;ΠΑΡΕΛΚΟΜΕΝΑ FIRE EXTINGUISHING;7,00;645,20;0,00;0,00;0,00;0,00;0,00;0,00;7,00;129,15;7,00;645,20;7,00;129,15;0,00;0,00;645,20;92,17;129,15;0,00;28,63;
1339;011853;029730040;"Bleed Valve (για τελευταίο πνευματ. ενεργοποιητη) G 1/8""";FIRE EXTINGUISHING;ΠΑΡΕΛΚΟΜΕΝΑ FIRE EXTINGUISHING;2,00;82,26;0,00;0,00;0,00;0,00;0,00;0,00;2,00;114,38;2,00;82,26;2,00;114,38;0,00;0,00;82,26;82,26;114,38;0,00;28,08;
1340;011854;B06920212;Σωλήνας Πιλότου (για Β048 RT);FIRE EXTINGUISHING;ΠΑΡΕΛΚΟΜΕΝΑ FIRE EXTINGUISHING;7,00;171,78;0,00;0,00;0,00;0,00;0,00;0,00;7,00;99,75;7,00;171,78;7,00;99,75;0,00;0,00;171,78;73,62;99,75;0,00;26,20;
1341;011864;028250050;Ανιχνευτής Απώλειας Πίεσης και Ροής RT;FIRE EXTINGUISHING;ΠΑΡΕΛΚΟΜΕΝΑ FIRE EXTINGUISHING;4,00;550,55;0,00;0,00;0,00;0,00;0,00;0,00;4,00;760,76;4,00;550,55;4,00;760,76;0,00;0,00;550,55;550,55;760,76;0,00;27,63;
1342;011870;029720234;ΜΑΝΟΜΕΤΡΟ με P. Switch 0-315BAR IG - RT;FIRE EXTINGUISHING;ΠΑΡΕΛΚΟΜΕΝΑ FIRE EXTINGUISHING;13,00;1.172,17;0,00;0,00;0,00;0,00;0,00;0,00;11,00;646,39;13,00;1.172,17;11,00;646,39;2,00;180,33;1.172,17;450,84;646,39;180,33;30,25;
1343;011874;B04611316;"ΑΚΡΟΦΥΣΙΟ CO2/IG, 1"" / Rx Φ17,5mm";FIRE EXTINGUISHING;ΠΑΡΕΛΚΟΜΕΝΑ FIRE EXTINGUISHING;5,00;181,74;0,00;0,00;0,00;0,00;0,00;0,00;5,00;252,69;5,00;181,74;5,00;252,69;0,00;0,00;181,74;181,74;252,69;0,00;28,08;
1344;011875;023400100;ΤΑΠΑ ΚΟΛΕΚΤΕΡ IG RTX 2'';FIRE EXTINGUISHING;ΠΑΡΕΛΚΟΜΕΝΑ FIRE EXTINGUISHING;2,00;66,96;0,00;0,00;0,00;0,00;0,00;0,00;2,00;93,10;2,00;66,96;2,00;93,10;0,00;0,00;66,96;66,96;93,10;0,00;28,08;
1345;011876;B04425164;ΕΝΕΡΓΟΠΟΙΗΤΗΣ ΗΛΕΚΤΡΟΜΑΓΝΗΤΙΚΟΣ RT;FIRE EXTINGUISHING;ΠΑΡΕΛΚΟΜΕΝΑ FIRE EXTINGUISHING;6,00;1.564,35;0,00;0,00;0,00;0,00;0,00;0,00;6,00;1.409,80;6,00;1.564,35;6,00;1.409,80;0,00;0,00;1.564,35;1.042,90;1.409,80;0,00;26,02;
1346;011892;114131;"Pressure switch MBC 5100 0.50 - 3.00bar - 1/4""F";FIRE EXTINGUISHING;ΠΑΡΕΛΚΟΜΕΝΑ FIRE EXTINGUISHING;0,00;0,00;0,00;0,00;0,00;0,00;3,00;511,56;0,00;0,00;3,00;511,56;0,00;0,00;3,00;511,56;0,00;0,00;0,00;511,56;0,00;
1347;011895;IX-SSA;ΥΠΟΣΤΑΘΜΟΣ ΕΝΔΟΕΠΙΚΟΙΝΩΝΙΑΣ ΧΩΡΙΣ ΑΚΟΥΣΤΙΚΟ;INTERCOM;ΘΥΡΟΤΗΛΕΦΩΝΑ;1,00;633,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;633,75;0,00;0,00;1,00;633,75;633,75;0,00;0,00;633,75;0,00;
1348;011897;576.501.072;HS201 ELECTRONIC SOUNDER-BEACON;FIRE DETECTION;ΣΕΙΡΗΝΕΣ FIRE ADDRESSABLE;24,00;593,93;0,00;0,00;0,00;0,00;12,00;343,74;17,00;525,70;36,00;937,67;17,00;525,70;19,00;470,56;593,93;421,03;525,70;470,56;19,91;
1349;011911;118745;Reducing coupling RED 38,0 30,0 Press fitting;FIRE EXTINGUISHING;ΠΑΡΕΛΚΟΜΕΝΑ FIRE EXTINGUISHING;6,00;293,74;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;293,74;0,00;0,00;6,00;293,74;293,74;0,00;0,00;293,74;0,00;
1350;011915;536311;"Plug end VST-R 3/8""-wb BSPP";FIRE EXTINGUISHING;ΠΑΡΕΛΚΟΜΕΝΑ FIRE EXTINGUISHING;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.607,85;0,00;0,00;0,00;1.607,85;0,00;0,00;0,00;967,53;1.607,85;0,00;39,82;
1351;011918;TRADAR-MASS;Tyco  Radar Detection MASS Management Software;CCTV;LICENSE/SOFTWARE CCTV;1,00;2.356,71;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21.641,93;1,00;2.356,71;0,00;21.641,93;1,00;2.356,71;2.356,71;2.356,71;21.641,93;2.356,71;89,11;
1352;011919;TRADAR-15MCBL;Tyco  Radar Detection, outdoor PoE, 15m Cable;CCTV;ΠΑΡΕΛΚΟΜΕΝΑ CCTV/ACCESSORIES;4,00;580,12;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;5,00;580,12;0,00;0,00;5,00;725,15;580,12;0,00;0,00;725,15;0,00;
1353;011920;TRADAR-PMBRKT;Tyco  Radar Detection Pole Mount Bracket;CCTV;MOUNTS/PLATES/BRACKETS/BOXES;7,00;973,87;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;973,87;0,00;0,00;7,00;973,87;973,87;0,00;0,00;973,87;0,00;
1354;011929;ST4000VX013;Σκληρός δίσκος 4TB ειδικά σχεδιασμένος για συστήματα παρακολούθησης με λειτουργία 24/7;CCTV;ΠΑΡΕΛΚΟΜΕΝΑ CCTV/ACCESSORIES;0,00;0,00;0,00;0,00;0,00;0,00;1,00;119,95;0,00;0,00;1,00;119,95;0,00;0,00;1,00;119,95;0,00;0,00;0,00;119,95;0,00;
1355;011930;INIM-C100SG;FIRE PANEL INIM PREVIDIA COMPACT;FIRE DETECTION;ΠΙΝΑΚΕΣ FIRE CONVENTIONAL;0,00;0,00;0,00;0,00;0,00;0,00;1,00;390,00;1,00;460,43;1,00;390,00;1,00;460,43;0,00;0,00;0,00;390,00;460,43;0,00;15,30;
1356;011935;MBK07-Z-LD2;"ΚΡΟΥΝΟΣ ΓΩΝΙΑΚΟΣ DIN ΟΡΕΙΧ.13/4""-2""";FIRE EXTINGUISHING;ΕΝΕΡΓΗΤΙΚΗ ΠΥΡΟΠΡΟΣΤΑΣΙΑ;2,00;42,47;0,00;0,00;0,00;0,00;11,00;237,33;13,00;152,31;13,00;279,80;13,00;152,31;0,00;0,00;42,47;284,23;152,31;0,00;-86,61;
1357;011940;PFA130-E;Βάση & Στεγανό κουτί προστασίας καλωδίων.;CCTV;ΠΑΡΕΛΚΟΜΕΝΑ CCTV/ACCESSORIES;33,00;252,67;0,00;0,00;0,00;0,00;3,00;22,77;3,00;11,68;36,00;275,44;3,00;11,68;33,00;252,62;252,67;7,65;11,68;252,60;34,46;
1358;011941;DS-2TD2117-6/V1;DS-2TD2117-6/V1 IP THERMAL CAMERA;CCTV;ΚΑΜΕΡΕΣ THERMAL;1,00;220,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;220,00;0,00;0,00;1,00;220,00;220,00;0,00;0,00;220,00;0,00;
